Como a noite é longa!	COMO NOITE LONGO
Do leito onde esperto.	ONDE ESPERTO LEITO
Amei tanta coisa...	EU AMAR COISA
Que fiz eu de mim?	{EU EU FAZER}(q)
Repudiei sempre que me compreendessem.	SEMPRE QUE EU REPUDIAR COMPREENDER
Prefiro ser tomado a sério como o que não sou, ignorado humanamente, com decência e naturalidade.	HUMANO EU PREFERIR SÉRIO O DECÊNCIA NATURALIDADE TOMAR IGNORAR (NÃO)
Nada poderia indignar-me tanto como se no escritório me estranhassem.	TANTO NADA EU ESCRITÓRIO EU INDIGNAR PODER ESTRANHAR
Afogai-me, ó ruído da acção, no som dos vossos oceanos!	Ó EU RUÍDO ACÇÃO SOM OCEANOS VOSSO AFOGAR
Aquele que dentro de mim quase grita, quase, quase chora	QUASE AQUELE QUASE EU QUASE CHORA GRITAR
Levai-me para longe de eu saber que vida é que sinto	LONGE QUE EU EU SABER VIDA SENTIR LEVAR
Sabeis bem como este livro é obra de uma vontade que lutou com a Natureza.	BEM COMO ESTE SABER LIVRO OBRA VONTADE NATUREZA LUTAR
A doença e o desassossego, inimigos naturais de conseguir, não lograram os fins que trazem no seu carácter de empecilhos.	DOENÇA NATURAIS DESASSOSSEGO INIMIGOS CARÁCTER EMPECILHOS SEU CONSEGUIR CONSEGUIR TRAZER (NÃO)
Uma vontade que os Deuses apoiam é uma vontade forte de fins.	DEUSES VONTADE VONTADE FORTE FINS APOIAR
Todo esforço, qualquer que seja o fim para que tenda, sofre, ao manifestar-se, os desvios que a vida lhe impõe.	TODO ESFORÇO QUALQUER FIM VIDA LHE DESVIOS MANIFESTAR SOFRER IMPOR
Só um baixo fim vale a pena, porque só um baixo fim se pode inteiramente efectuar.	SÓ PORQUE BAIXO BAIXO FIM PENA INTEIRO ELE VALER EFECTAR PODER
Ainda assim uma vaga inquietação anda a torturar-me, uma coisa a que eu não posso chamar senão uma comichão intelectual, como se eu fosse ter bexigas na alma.	AINDA ASSIM SENÃO COMO SE EU INQUIETAÇÃO EU COISA COMICHÃO BEXIGAS ALMA TORTURAR ANDAR NOME PODER (NÃO)
É só nesta linguagem absurda que eu lhe posso descrever o que sinto.	SÓ EU ESTE LHE LINGUAGEM O DESCREVER PODER SENTIR
A maioria dos homens vive com espontaneidade uma vida fictícia e alheia.	FICTÍCIO ALHEIO MAIORIA HOMEM ESPONTANEIDADE VIDA VIVER
Uns gastam a vida na busca de qualquer coisa que não querem, outros empregam-se na busca do que querem e lhes não serve, outros ainda se perdem.	OUTROS UM QUALQUER VIDA BUSCA COISA BUSCA DO QUE GASTAR EMPREGAR QUERER AINDA OUTROS LHES PERDER SERVIR (NÃO)
Em geral, o homem chora pouco, e, quando se queixa, é a sua literatura.	HOMEM GERAL POUCO CHORA QUANDO QUEIXA LITERATURA SEU
Estou num dia em que me pesa, como uma entrada no cárcere, a monotonia de tudo.	COMO DIA EU ENTRADA CARCERE MONOTONIA TUDO PESAR
A monotonia de tudo não é, porém, senão a monotonia de mim.	SENÃO MONOTONIA TUDO PORÉM MONOTONIA EU (NÃO)
Cada rosto, ainda que seja o de quem vimos ontem, é outro hoje, pois que hoje não é ontem.	ONTEM HOJE POIS HOJE CADA ROSTO OUTRO ONTEM HOJE HOJE VIR (NÃO)
Cada dia é o dia que é, e nunca houve outro igual no mundo.	DIA CADA DIA OUTRO IGUAL MUNDO HAVER NUNCA NÃO
Só em nossa alma está a identidade - a identidade sentida, embora falsa, consigo mesma - pela qual tudo se assemelha e se simplifica.	SÓ EMBORA ALMA IDENTIDADE IDENTIDADE NOSSO TUDO FALSA CONSEGUIR SENTIR ASSEMELHAR ELE SIMPLIFICAR
O mundo é coisas destacadas e arestas diferentes; mas, se somos míopes, é uma névoa insuficiente e contínua.	MUNDO COISA DESTACAR MUNDO DESTACAR COISA ARESTAS MAS MÍOPES NÉVOA INSUFICIENTE MAS MULHER CONTÍNUO
O meu desejo é fugir.	DESEJO MEU FUGIR
Fugir ao que conheço, fugir ao que é meu, fugir ao que amo.	FUGIR MEU FUGIR CONHECER FUGIR AMAR
Desejo partir - não para as índias impossíveis, ou para as grandes ilhas ao Sul de tudo, mas para o lugar qualquer - aldeia ou ermo - que tenha em si o não ser este lugar.	DESEJO ÍNDIAS IMPOSSÍVEIS PARTIR OU GRANDE ILHAS SUL TUDO MAS QUALQUER LUGAR ALDEIA OU ERMO ESTE SI LUGAR TER (NÃO)
Quero não ver mais estes rostos, estes hábitos e estes dias.	MAIS ESTE ESTE ESTE ROSTOS HÁBITOS DIA VER EU QUERER (NÃO)
Quero repousar, alheio, do meu fingimento orgânico.	ALHEIO ORGÂNICO FINGIMENTO MEU REPOUSAR EU QUERER
Quero sentir o sono chegar como vida, e não como repouso.	COMO SONO VIDA COMO REPOUSO CHEGAR SENTIR EU QUERER (NÃO)
Uma cabana à beira-mar, uma caverna, até, no socalco rugoso de uma serra, me pode dar isto.	ATÉ CABANA CAVERNA SOCALCO BEIRA MAR RUGOSO SERRA EU ELE DAR PODER
Infelizmente, só a minha vontade mo não pode dar.	INFELIZ SÓ VONTADE MEU EU DAR PODER (NÃO)
A escravatura é a lei da vida, e não há outra lei, porque esta tem de cumprir-se, sem revolta possível nem refúgio que achar.	ESCRAVATURA LEI VIDA OUTRO PORQUE ESTA TER POSSÍVEL REVOLTA CUMPRIR HAVER NÃO NEM REFÚGIO ACHAR (NÃO)
Uns nascem escravos, outros tornam-se escravos, e a outros a escravidão é dada.	UNS OUTROS ESCRAVOS ESCRAVOS TORNAR NASCER ESCRAVIDÃO OUTRO DAR
O amor cobarde que todos temos à liberdade - que, se a tivéssemos, estranharíamos, por nova, repudiando-a - é o verdadeiro sinal do peso da nossa escravidão.	AMOR TODO NOSSO TER A TER NOVO PESO ESCRAVIDÃO ESTRANHAR REPUDIAR
Eu mesmo, que acabo de dizer que desejaria a cabana ou caverna onde estivesse livre da monotonia de tudo, que é a de mim, ousaria eu partir para essa cabana ou caverna, sabendo, por conhecimento, que, pois que a monotonia é de mim, a haveria sempre de ter comigo?	{MESMO QUE EU DESEJAR CABANA DIZER ACABAR OU ONDE CAVERNA ESSE LIVRE MONOTONIA TUDO EU EU CABANA OUSAR PARTIR OU CAVERNA POIS QUE MONOTONIA EU SABER CONHECIMENTO SEMPRE COMIGO HAVER TER}(q)
Eu mesmo, que anseio alto pelo sol puro e os campos livres, pelo mar visível e o horizonte inteiro, quem me diz que não estranharia a cama, ou a comida, ou não ter que descer os oito lanços de escada até à rua, ou não entrar na tabacaria da esquina, ou não trocar os bons-dias com o barbeiro ocioso?	MESMO EU ANSEIO ALTO PURO CAMPOS LIVRES MAR VISÍVEL INTEIRO HORIZONTE EU DIZER CAMA ESTRANHAR NÃO QUEM OU COMIDA OU ATÉ LANÇO 8 ESCADA RUA DESCER OU TABACARIA ESQUINA ENTRAR NÃO OU BOM DIAS BARBEIRO OCIOSO TROCAR (NÃO)
Eu mesmo, que sufoco onde estou e porque estou, onde respiraria melhor se a doença é dos meus pulmões e não das coisas que me cercam?	MESMO EU SUFOCO ONDE PORQUE MELHOR SE DOENÇA MEU ONDE RESPIRAR PULMÕES COISA EU CERCAR (NÃO)
