Hoje comparecemos ao concerto didático na Sala Minas Gerais	HOJE DIDÁTICO CONCERTO SALA MINAS GERAIS COMPARECER
Quem bate em mulher é cobarde.	QUEM MULHER COBARDE BATER
Estamos desperdiçando nossas vidas na internet.	VIDA INTERNET NOSSO DESPERDIÇAR
Toda história tem um fim	TODO HISTÓRIA FIM ELE TER
Enquanto o nosso país precisar conviver com isso	ENQUANTO PAÍS NOSSO ISSO CONVIVER PRECISAR
Uau!	UAU
Nem precisa de comentário	NEM COMENTÁRIO ELE PRECISAR
Equipa quase completa	QUASE EQUIPA COMPLETAR
Sexta-feira	SEXTA FEIRA
Aquele cafezinho que a gente valoriza.	GENTE AQUELE CAFÉ PEQUENO VALORIZAR
Quando você se afasta de pessoas negativas	QUANDO NEGATIVAS VOCÊ PESSOA AFASTAR
Lindezas que o trabalho nos proporciona.	LINDEZAS TRABALHO NÓS PROPORCIONAR
Mostrar que existem possibilidades.	ELES EXISTIR POSSIBILIDADES MOSTRAR
Enquanto uns brigam por política eu brigo com a balança mesmo...	ENQUANTO MESMO UM EU POLÍTICA BALANÇA BRIGAR
Nada que é unilateral vai se manter por muito tempo.	NADA UNILATERAL MUITO TEMPO MANTER
Quanto ganha o Facebook com cada utilizador?	CADA FACEBOOK UTILIZADOR GANHAR QUANTO (NÃO)
Hoje a nossa produção de vídeo é com o Presidente de Futebol do Barroso.	HOJE PRODUÇÃO VÍDEO PRESIDENTE FUTEBOL DO BARROSO NOSSO
Eu uso óculos no trabalho	EU USO ÓCULOS TRABALHO
Venha fazer parte do grupo de revendedores de sucesso!	GRUPO PARTE REVENDEDORES SUCESSO FAZER EU VIR
Corre, é só um cafezinho!	SÓ CORRE CAFEZINHO
China recebe bem convite dos EUA para negociações comerciais	BEM COMERCIAIS MULHER CHINO EUA CONVITE MULHER NEGOCIAÇÃO RECEBER
Quando o eleitor é convocado a escolher o menos pior - Fragilidade de PT e PSDB no mundo pós-Lava Jato abriu espaço para novos competidores nas eleições 2018 e voto útil é antecipado já no primeiro turno	QUANDO ELEITOR PIOR FRAGILIDAPT MENOS ESCOLHER CONVOCAR JATO PSDB ESPAÇO MUNDO PÓS LAVA MULHER ELEIÇÃO 2018 NOVO COMPETIDOR ABRIR JÁ ÚTIL PRIMEIRO VOTO TURNO ANTECIPAR
Roberto Carlos adia show em São Paulo após forte gripe	FORTE DT(R-O-B-E-R-T-O) DT(C-A-R-L-O-S) SHOW SÃO PAULO GRIPE ADIAR
Ministro Dias Toffoli assume comando do STF nesta quinta-feira	MINISTRO DT(D-I-A-S) DT(T-O-F-F-O-L-I) ESTE COMANDO STF MULHER QUINTA FEIRA ASSUMIR
Filipinas se preparam para chegada do tufão mais violento do ano	FILIPINAS VIOLENTO CHEGADA TUFÃO ANO MAIS PREPARAR
PODCAST: Bolsonaro ainda pode crescer mais	AINDA PODCAST DT(B-O-L-S-O-N-A-R-O) MAIS CRESCER PODER
Divergência de número de membros de grupo anti-Bolsonaro gera polêmica nas redes sociais	DIVERGÊNCIA NÚMERO GRUPO POLÊMICO MEMBROS BOLSONARO REDES SOCIAIS GERA
Geraldo Alckmin participa de sabatina no GLOBO nesta quinta-feira.	DT(G-E-R-A-L-D-O) DT(A-L-C-K-M-I-N) ESTE SABATINA GLOBO MULHER QUINTA FEIRA PARTICIPAR
Preparar o professor é multiplicar o futuro	PREPARAR PROFESSOR FUTURO MULTIPLICAR
Candidatos a presidente refazem estratégias de campanha após empate técnico.	CANDIDATOS PRESIDENTE ESTRATÉGIAS CAMPANHA EMPATE TÉCNICO REFAZER
Filme mostra a emoção do povo na rua no enterro de Tancredo	FILME EMOÇÃO POVO RUA ENTERRO DT(T-A-N-C-R-E-D-O) MOSTRAR
Estamos preparados para um novo Acordo de Oslo?	{NOVO PREPARAR ACORDO OSLO}(q)
Aos 60 anos, Conjunto Nacional faz uma volta às origens	CONJUNTO NACIONAL 60 ANO VOLTA ORIGEM FAZER
Apenas 16% das empresas preveem aumentar quadro de funcionários no 4º trimestre	APENAS 16 EMPRESA QUADRO FUNCIONÁRIO TRIMESTRE AUMENTAR PREVER
Somos o país do Bendegó	PAÍS BENDEGÓ
Homem armado deixa 5 mortos em ataques a tiros na Califórnia	HOMEM MORTO 5 ATAQUE TIRO CALIFÓRNIA ARMAR DEIXAR
Tragédia americana: opioides matam mais do que os massacres	AMERICANO TRAGÉDIA OPIOIDES MAIS DO QUE MASSACRES MATAR
G1 e CBN entrevistam Marina Silva	0 CBN DT(M-A-R-I-N-A) DT(S-I-L-V-A) ENTREVISTAR
Bom dia	DIA
Folha e Spotify lançam Eleição na Chapa	FOLHA SPOTIFY ELEIÇÃO CHAPA LANÇAR
