VO	V O
V	O V
SVO	S V O
SV	S V_cop
VS	O
VO	O V_cop O
SVO	S V_cop
SVO	S V_cop
SV	S V_cop
V	S O S V O
VO	V O
SV	V S V
VO	S V_cop
SVO	O S V O
SV	V
SV	S V_cop S V
V	S O V
V	O  V
VO	S V O
SV	S V_cop
V	V S V_cop
VO	O  V O
SV	S
SVO	S V O
V	S
S	S O
SV	S V O S O V
V	V_cop
SV	S V_cop
V	S O V
SV	S V
SV	S V_cop
SVO	S V_cop
V	V_cop
SVO	S V O
SV	S V O
VO	S V O S V_cop O
SVO	S V_cop O
SVO	S V O  V
SV	S
V	O V_cop
V	O  V O
SVO	S V O  V O
VO	O  V  V O
SV	S  V O
SV	V_cop
V	V_cop S V O
VS	S  V S V  V  V  V
V	S V_cop O
V	V O V_cop O
SV	S V_cop S V_cop
SV	V  V  V  V  V  V  V
SV	S V_cop
VO	O
V	V S
SVO	V O S
SV	V_cop
V	O
V	V  V  V  V  V O
VO	V
VO	V_cop O S
SVO	V_cop
V	V
VO	S
V	S V_cop O  V S
SV	V_cop S
VO	V S
SV	V S
V	V_cop S
SVO	V O
SV	V
SV	V S
SV	V_cop S V S
V	O
V	S O V O
VO	S
SVO	O S
V	S
VO	O  V
VO	O S
SV	V
V	S V_cop S V_cop S V_cop  V  V S
SVO	V O S
V	V O S
V	S
V	V
SV	S
SV	V O V O V O S
V	O V  V_cop  V_cop
SV	S
VSO	V_cop S
SV	V S
SV	V O S
SVO	V_cop S
V	V_cop
SVO	S
SV	S
SV	V O S
VO	V O S
SVO	V_cop O S
SV	V O  V S
V	V
SV	O
V	V_cop O
VO	V S V
VO	V O
V	O  V  V  V  V  V  V
SVO	V O S
SV	V O  V O
V	V_cop  V_cop  V_cop
VS	S V O S
V	V
SV	S
VO	V O
V	V
SV	S
V	V O S
VO	V_cop O  V  V  V
VO	O V_cop  V
V	S V
SV	O V_cop S
V	V_cop S
SV	V_cop  V
SV	S
SV	S
SV	S O S O S O S O S O S O S O S O S O S O S O S O
SVO	S O S O S O S O S O S O S O
SO	S
V	O V O
VO	V S
V	V
SVO	S V
VO	O
VO	V S V_cop
V	O
SV	S V
SV	S V O
SVO	V_cop S O
V	V_cop O
VS	O
VO	O S
V	O
V	V_cop
VO	O
V	V_cop
V	V_cop O
V	V_cop
SV	V_cop O V S
SV	O S O V_cop
VO	S O
VO	O V O V
SV	S O V
SV	S V_cop O
SV	V_cop
SV	S V_cop O
V	S O V O
SV	S O V_cop
SV	V_cop S O
SV	S V_cop O O V O V V O
V	V O
V	O S V_cop
SV	S V O V_cop
SV	O S
V	O S O
VO	S O
VO	S O
OV	O
V	V S O
OV	O
SV	O V_cop
V	S V O
VS	S O
VO	O  V_cop
SVO	O
SVO	V_cop S O
SV	S
SOV	S
V	S O
SV	S
V	V
V	V
V	V
SV	S O
SV	S V_cop O
SV	S V_cop O
V	V_cop O
SV	S O
VO	O  V
V	O  V_cop
SV	O S O
SVO	S O
VO	S
SV	S O
V	V_cop O
SV	S
V	S
SVO	S O
SOV	O
V	O  V_cop
V	O  V_cop
SV	S O V O
V	O S V
SVO	S O
SVO	S V_cop O V_cop O
VO	O  V_cop O V_cop
SV	S V_cop O V
VO	V O
VO	O V_cop
V	O
S	V
V	O  V_cop
V	V_cop
V	V V_cop O
V	V_cop O
SV	S
V	S V O
V	O V_cop O
V	O
